PU_Zone,total_trips,total_revenue,total_distance_miles,median_duration_minutes,p95_duration_minutes,median_speed_mph,avg_passengers,trips_per_day
Meatpacking/West Village West,279244,7151037.72,763535.86,13.466666666666667,34.03333333333333,9.37560256527139,1.4496784174413775,765.0520547945206
Melrose South,2142,58143.45,9898.02,22.766666666666666,67.11166666666664,8.91327257081398,1.1283846872082166,5.868493150684931
Middle Village,692,30183.079999999998,4286.09,23.78333333333333,60.83499999999998,13.388274329118712,1.176300578034682,1.895890410958904
Midtown Center,1467306,35906163.15,3380951.81,12.733333333333333,32.43333333333333,7.785391427150765,1.3994545105111,4020.0164383561646
Midtown East,1136947,27178664.12,2573207.12,12.233333333333333,30.933333333333334,8.285687981942914,1.3450820486794899,3114.923287671233
Midtown North,925021,22572896.88,2206237.03,11.933333333333334,33.416666666666664,8.296758326836029,1.398464467293175,2534.304109589041
Midtown South,733114,17836277.6,1750072.34,12.183333333333334,33.03333333333333,8.407579050351208,1.4117340550037238,2008.531506849315
Midwood,1347,43769.21,8273.16,37.55,87.135,8.098031030231374,1.0386043058648848,3.6904109589041094
Morningside Heights,153875,3613401.03,441406.13,12.2,34.45,10.446260685096133,1.316165718927701,421.5753424657534
Morrisania/Melrose,1579,48278.86,8886.52,29.85,74.03833333333331,8.498872785771924,1.0481317289423686,4.326027397260274
Mott Haven/Port Morris,3372,98599.74,16759.25,19.425,60.21333333333332,10.83825340056912,1.166370106761566,9.238356164383562
Mount Hope,1434,45545.94,8764.26,27.35,71.80583333333333,9.623891405456877,1.0725244072524407,3.9287671232876713
Murray Hill,959777,22875542.52,2189886.54,12.066666666666666,31.65,8.446036901027524,1.3472608741405556,2629.5260273972603
Murray Hill-Queens,527,17671.51,3422.71,28.8,70.83833333333332,11.331669740906698,1.047438330170778,1.4438356164383561
New Dorp/Midland Beach,17,1246.79,240.49,32.53333333333333,294.0299999999992,26.10199102753683,1.4705882352941178,0.04657534246575343
Newark Airport,342,33254.85,4341.36,29.549999999999997,77.8625,24.134657240384215,1.5,0.936986301369863
North Corona,584,17445.71,2946.09,19.666666666666664,58.63333333333334,10.25144319456905,1.1832191780821917,1.6
Norwood,1312,46869.28,9651.8,27.641666666666666,80.28083333333336,10.841290647636221,1.0625,3.5945205479452054
Oakland Gardens,391,13724.9,2859.59,26.466666666666665,82.42500000000001,13.658492167505148,1.0255754475703325,1.0712328767123287
Oakwood,5,275.5,50.26,19.933333333333334,57.76,12.85387481404578,2.0,0.0136986301369863
Ocean Hill,2351,78515.54,15139.16,31.05,71.85,9.652005278254991,1.0272224585282859,6.441095890410959
Ocean Parkway South,248,8976.6,1808.66,32.108333333333334,95.32416666666663,11.278098683265071,1.096774193548387,0.6794520547945205
Old Astoria,5527,136046.17,21072.54,14.8,48.23499999999999,10.551593152636727,1.2048127374705988,15.142465753424657
Outside of NYC,3702,303965.39,32678.3,18.25,70.34249999999997,20.050642129977877,1.4292274446245272,10.142465753424657
Ozone Park,557,24704.329999999998,4004.54,29.05,76.91999999999994,13.218561338599645,1.1723518850987433,1.526027397260274
Park Slope,11337,337912.84,55988.12,20.083333333333332,55.89333333333328,11.063735627781892,1.2330422510364294,31.06027397260274
Parkchester,1480,48032.4,9623.74,31.941666666666666,76.14583333333333,10.149703036458755,1.022972972972973,4.054794520547945
Pelham Bay,356,12412.75,2558.29,27.191666666666666,71.59166666666667,11.294116088137432,1.047752808988764,0.9753424657534246
Pelham Bay Park,46,2481.0,355.59000000000003,19.758333333333333,47.725,19.685495777452342,1.2391304347826086,0.12602739726027398
Pelham Parkway,929,29243.1,5294.82,27.116666666666667,71.47666666666652,9.155283415967032,1.0344456404736275,2.5452054794520547
Penn Station/Madison Sq West,1134218,28926576.66,2677388.56,14.633333333333333,36.25,7.815696919378587,1.3540783165141093,3107.4465753424656
Port Richmond,9,330.17,52.36,17.55,35.65333333333333,16.341824472394965,1.1111111111111112,0.024657534246575342
Prospect Heights,3788,113767.71,19899.06,21.35,56.01583333333331,11.197479414282036,1.1715945089757127,10.378082191780821
Prospect Park,695,21144.14,3222.57,22.216666666666665,56.84833333333332,10.288935621344962,1.381294964028777,1.904109589041096
Prospect-Lefferts Gardens,4610,144054.15,27225.65,30.575,77.93500000000002,9.276242574589334,1.052060737527115,12.63013698630137
Queens Village,1999,82061.04,18654.25,35.06666666666667,79.47,14.447089553457612,1.0205102551275638,5.476712328767123
Queensboro Hill,515,15900.42,2839.41,21.783333333333335,66.63666666666664,11.978397876694082,1.0718446601941747,1.4109589041095891
Queensbridge/Ravenswood,5411,148770.13,22193.32,16.65,54.19166666666666,10.90685294124636,1.2167806320458325,14.824657534246576
Randalls Island,1086,71503.24,7438.35,19.65,49.47083333333333,17.438803790199835,1.423572744014733,2.9753424657534246
Red Hook,3589,199796.18,34830.83,32.43333333333333,65.15,14.749780203619483,1.6221788799108388,9.832876712328767
Rego Park,2001,91174.41,12303.16,23.033333333333335,59.38333333333333,13.70814273979164,1.2418790604697652,5.482191780821918
Richmond Hill,3342,150326.42,26616.49,31.633333333333333,85.30666666666663,13.934374167726329,1.17803710353082,9.156164383561643
Ridgewood,1298,41160.25,7852.5,26.674999999999997,61.49833333333332,11.459903632457621,1.0924499229583975,3.5561643835616437
Rikers Island,16,878.13,131.25,30.950000000000003,43.19166666666667,16.199254337722543,1.25,0.043835616438356165
Riverdale/North Riverdale/Fieldston,709,31460.84,7115.33,33.45,75.10000000000001,17.02618037983096,1.1086036671368125,1.9424657534246574
Rockaway Park,452,23461.13,5436.97,48.25,93.67083333333333,14.28288251165846,1.0176991150442478,1.2383561643835617
Roosevelt Island,1279,44145.99,7323.46,22.283333333333335,60.689999999999934,11.799921333857775,1.26817826426896,3.504109589041096
Rosedale,1398,61391.45,14075.3,30.858333333333334,82.83166666666665,15.96169141262105,1.0464949928469243,3.83013698630137
Rossville/Woodrow,9,691.14,134.55,62.45,85.94666666666666,21.9055033734155,1.2222222222222223,0.024657534246575342
Saint Albans,2890,102950.52,22123.71,34.425,79.97916666666656,10.970451245052773,1.0166089965397924,7.917808219178082
Saint George/New Brighton,25,1454.73,315.86,47.0,97.99999999999997,16.340878278429027,1.12,0.0684931506849315
Saint Michaels Cemetery/Woodside,393,20216.89,2655.98,23.833333333333332,68.83666666666666,15.218808278167835,1.3333333333333333,1.0767123287671232
Schuylerville/Edgewater Park,880,31178.56,5973.58,29.308333333333334,67.85666666666664,11.624935348048602,1.0488636363636363,2.410958904109589
Seaport,59159,1824413.6,246477.84,15.6,39.41833333333331,12.23570395224567,1.4568366605250258,162.07945205479453
Sheepshead Bay,1157,52654.73,12621.03,40.46666666666667,101.51666666666667,13.059899829937391,1.0181503889369057,3.16986301369863
SoHo,238061,5976260.2,620963.61,13.116666666666667,35.6,9.174730559037206,1.4414414792847212,652.2219178082191
Soundview/Bruckner,779,25546.239999999998,5048.3,28.65,71.30833333333325,10.421040290873341,1.0513478818998716,2.1342465753424658
Soundview/Castle Hill,2384,83668.64,16888.98,28.45,69.10333333333328,11.58769431947179,1.0331375838926173,6.531506849315068
South Beach/Dongan Hills,142,9883.22,2615.77,42.275000000000006,55.482499999999995,27.808172964346188,1.028169014084507,0.38904109589041097
South Jamaica,4621,303191.99,51210.61,33.71666666666667,70.96666666666667,18.920964804917055,1.2702878164899372,12.66027397260274
South Ozone Park,4150,253859.18,36645.86,24.883333333333333,75.05666666666663,17.896403386618438,1.3387951807228915,11.36986301369863
South Williamsburg,1102,31120.06,4878.43,17.758333333333333,58.196666666666744,10.111970180922079,1.2159709618874772,3.0191780821917806
Springfield Gardens North,2605,97147.85,20616.1,35.28333333333333,79.47333333333331,11.281547135318004,1.0280230326295585,7.136986301369863
Springfield Gardens South,2872,202494.97,36949.98,36.916666666666664,81.61916666666664,19.18661654770935,1.3325208913649025,7.868493150684931
Spuyten Duyvil/Kingsbridge,1310,48068.03,9752.04,25.133333333333333,66.3325,13.961422537066037,1.1893129770992366,3.589041095890411
Stapleton,21,1986.73,292.46999999999997,22.566666666666666,60.733333333333334,26.40394379363147,1.0952380952380953,0.057534246575342465
Starrett City,1544,63798.76,13101.12,39.45,91.87416666666664,9.975687347383115,1.0259067357512954,4.23013698630137
Steinway,5569,254673.24,35548.51,18.533333333333335,54.686666666666646,15.664895186343463,1.2698868737654876,15.257534246575343
Stuy Town/Peter Cooper Village,41395,984835.8,112097.16,12.066666666666666,31.85,9.549952250238748,1.2911462737045536,113.41095890410959
Stuyvesant Heights,4065,126447.3,23632.17,30.9,69.45666666666664,9.543595675244276,1.0423124231242313,11.136986301369863
Sunnyside,21155,721739.41,96935.29,17.75,49.71666666666667,11.68154506932354,1.290333254549752,57.95890410958904
Sunset Park East,660,24676.739999999998,4952.46,34.625,84.61583333333331,10.491120242408725,1.0863636363636364,1.8082191780821917
Sunset Park West,2182,85890.95999999999,17208.99,27.95,73.0583333333333,13.701908935438869,1.0939505041246562,5.978082191780822
