DO_Zone,total_trips,total_revenue,total_distance_miles,median_duration_minutes,p95_duration_minutes,median_speed_mph,avg_passengers,trips_per_day
Bloomfield/Emerson Hill,1016,97216.94,22582.21,47.49166666666667,86.1625,28.972913706445645,1.2696850393700787,2.7835616438356166
Bloomingdale,104129,2563082.93,319687.95,11.116666666666667,34.68333333333333,11.89690380074317,1.34941274764955,285.2849315068493
Boerum Hill,44432,2175143.76,364506.39,26.8,62.32416666666662,14.253163568579469,1.3533489377025567,121.73150684931507
Borough Park,7208,504261.3,103521.1,41.53333333333333,70.18833333333332,19.786886737819696,1.411764705882353,19.747945205479454
Breezy Point/Fort Tilden/Riis Beach,509,41930.65,8699.89,32.85,69.0033333333333,30.4674316589178,1.3575638506876229,1.3945205479452054
Briarwood/Jamaica Hills,10064,404890.37,74566.86,20.516666666666666,53.15,20.07620329574864,1.3697337042925277,27.572602739726026
Brighton Beach,3708,255607.92,56404.11,35.208333333333336,70.71666666666667,26.40398710054511,1.3220064724919094,10.158904109589042
Broad Channel,258,13599.76,2660.26,23.666666666666664,58.001666666666594,24.81945846357241,1.3565891472868217,0.7068493150684931
Bronx Park,1935,121896.26,23257.42,32.5,56.971666666666664,22.163722689305732,1.620671834625323,5.301369863013699
Bronxdale,1898,116149.87,24017.76,34.275000000000006,68.0283333333333,21.28381148557641,1.2434141201264488,5.2
Brooklyn Heights,73245,3122905.72,494376.74,22.616666666666667,55.38333333333333,14.138950841509265,1.3372243839169908,200.67123287671234
Brooklyn Navy Yard,3482,137641.6,20343.9,24.883333333333333,52.29416666666664,12.186396672128062,1.2937966685812752,9.53972602739726
Brownsville,5613,247815.2,47544.74,30.866666666666667,69.03333333333333,15.806516404239423,1.228576518795653,15.378082191780821
Bushwick North,18298,888340.25,148443.3,29.85,49.93583333333329,15.344011516039872,1.328123292163078,50.131506849315066
Bushwick South,29390,1381776.49,229374.31,30.033333333333335,52.0,14.202592983867154,1.3075535896563457,80.52054794520548
Cambria Heights,5123,209817.13,42474.77,18.566666666666666,62.95499999999996,23.526386241587616,1.3784891665040016,14.035616438356165
Canarsie,10904,511946.21,107792.88,24.05,68.88083333333334,23.754420946361666,1.2846661775495232,29.873972602739727
Carroll Gardens,23104,1205269.0,198878.88,25.866666666666667,58.41166666666662,15.424820460556472,1.3364785318559558,63.298630136986304
Central Harlem,179721,4936281.84,672383.85,13.85,37.38333333333333,11.711818619250947,1.3581217553875173,492.386301369863
Central Harlem North,109933,3551177.95,548043.33,17.783333333333335,41.2,12.841799963757586,1.3310198029709004,301.18630136986303
Central Park,406525,9011043.58,846642.6,11.05,31.466666666666665,9.033027834210401,1.4874165180493204,1113.7671232876712
Charleston/Tottenville,324,34039.95,8524.0,49.825,92.51999999999998,32.91168259945485,1.1820987654320987,0.8876712328767123
